DATE,median home income,population,median home price
1997,39427,2692.6,182710.1287
1998,41909,2736.72,208965.0632
1999,44009,2789.593,232308.7306
2000,48363,2826.314,267405.926
2001,47944,2867.449,306075.8043
2002,47867,2896.14,348105.7909
2003,48766,2907.988,411523.4603
2004,51939,2922.175,527648.9016
2005,56224,2927.956,597400.0701
2006,59279,2933.959,604112.8511
2007,61724,2960.625,553421.4938
2008,62820,3003.793,424604.8379
2009,60103,3037.115,368145.3293
2010,59759,3103.793,394864.2984
2011,59290,3139.767,377593.9255
2012,60235,3179.798,382168.7618
2013,61365,3216.522,446978.4724
2014,66034,3256.875,493769.4943
2015,67053,3290.044,520488.0764
2016,70693,3317.2,551889.0019
2017,76048,3337.685,590687.4408