zip,latitude,longitude
91901,32.823102,-116.73864
91902,32.663803,-117.02456
91910,32.638654,-117.06686
91911,32.608799,-117.0607
91913,32.642486,-116.98973
91914,32.662563,-116.95413
91915,32.638072,-116.95195
91932,32.579555,-117.11708
91935,32.718186,-116.82606
91941,32.761801,-117.01273
91942,32.785,-117.0186
91945,32.733451,-117.0337
91950,32.670903,-117.09272
91977,32.721145,-116.99612
91978,32.732539,-116.95091
92003,33.289265,-117.20011
92007,33.026742,-117.27816
92008,33.158137,-117.32646
92009,33.097841,-117.26744
92010,33.1599,-117.2852
92011,33.1052,-117.297
92014,32.961812,-117.25967
92019,32.788736,-116.90487
92020,32.7991,-116.97334
92021,32.8201,-116.91234
92024,33.053092,-117.26855
92025,33.106862,-117.07077
92026,33.181543,-117.11136
92027,33.142706,-117.03049
92028,33.380359,-117.20605
92029,33.087868,-117.11558
92037,32.838761,-117.26159
92040,32.873849,-116.90477
92054,33.202463,-117.36077
92055,33.016928,-116.846046
92056,33.195354,-117.28232
92057,33.240926,-117.29851
92058,33.016928,-116.846046
92064,32.973645,-117.03701
92067,33.016492,-117.20264
92069,33.144908,-117.17128
92071,32.84681,-116.98983
92075,32.997543,-117.26087
92078,33.122029,-117.15605
92081,33.1779,-117.2534
92083,33.179587,-117.24461
92084,33.213309,-117.21474
92091,32.993541,-117.21311
92101,32.719601,-117.16246
92102,32.714992,-117.12537
92103,32.746018,-117.16715
92104,32.742892,-117.12774
92105,32.741256,-117.0951
92106,32.7259,-117.23079
92107,32.7409,-117.24434
92108,32.7736,-117.13785
92109,32.791246,-117.24343
92110,32.766482,-117.20077
92111,32.804972,-117.16871
92113,32.697402,-117.12001
92114,32.706954,-117.0542
92115,32.7603,-117.07031
92116,32.76235,-117.12246
92117,32.823865,-117.19966
92118,32.682727,-117.17441
92119,32.80225,-117.02431
92120,32.794449,-117.07221
92121,32.899996,-117.20722
92122,32.856447,-117.21143
92123,32.803799,-117.13595
92124,32.822815,-117.09844
92126,32.914346,-117.14116
92127,33.022384,-117.10694
92128,32.998855,-117.07054
92129,32.961014,-117.1251
92130,32.946776,-117.21918
92131,32.918035,-117.08438
92132,32.643703,-117.138414
92134,32.562106,-117.07166
92135,33.016928,-116.846046
92139,32.677286,-117.05241
92140,32.74344,-117.200412
92145,32.889139,-117.100486
92147,33.016928,-116.846046
92154,32.574398,-117.05633
92155,32.671602,-117.165665
92173,32.556264,-117.05057